Id;Comment;Label
107;Bg lebih dahulukan kebutuhan primer atau langsung inves?;Netral
108;"mba kasirnya bilang apa ga kedengeran?
";Netral
109;"Ceweknya bilang apa? “Emang”?
";Netral
110;Ga bisa ikutan, ga ngerti kasusnya, ga tau vt nya🤣;Netral
111;udh hilang ya vidio aslinya;Netral
112;betulllll;Netral
113;Apa Ndak panas yaaa;Netral
114;min kualat lu😂😂😂;Netral
115;Dia sadar loh bang kalau direkam 😂😂😂;Netral
116;Itu baju beli sendiri apa dibeliin anak y;Netral
117;Bukan emak gua sumpah😭;Netral
118;"Berapa karat tu
";Netral
119;lidah kuat, lambung belum tentu😂;Netral
120;Bear brand 2 kaleng;Netral
121;Kasih HCL bang biar ususnya bersih;Netral
122;Lvl 9 emang semengeeikan itukahh? Kok kek B aja sihh;Netral
123;Apa aku doank yg gak doyan gacoan😢;Netral
124;pedas hanya ilusi tetapi mencret sudahlah pasti;Netral
125;hallo ciii;Netral
126;aku juga sering gituin celanaku yang kegedean 😭;Netral
127;terserah yg penting makan;Netral
128;semua org siapa anjir?;Netral
129;IYA MBAK IYA😅;Netral
130;kak udah kakk🙏🥺;Netral
131;wkwkwk;Netral
132;perasaan banyak bgt orang yg komen tentang dia 🤣;Netral
133;coba kalian cari pacar Justin hubner, tebak nanti yang muncul siapa;Netral
134;jadi, siapa nih dipilih aisar atau Justin hubner😭;Netral
135;YANG LOGIN SIAPA😭😭😭;Netral
136;gimana para saksi, sahhh🤣;Netral
137;nama kapalnya apaa;Netral
138;ada yg sama GK salfok sama hp nya Justin hubner 🗿;Netral
139;AKU NAIK KAPAL YANG INI AJA DEH😭;Netral
140;ambil wudhu nya gimana? kan hrus kna kulit kepala;Netral
141;Menurutku diusia yg masih 22 mending usaha buat numbuhin rambutnya kembali dgn bbrp hairtreatment / tanam rambut karna kalau pakai rambut tempel gtu jadinya menghambat pertumbuhan rambut gasii;Netral
142;btw itu kenapa harus pke itu ka?;Netral
143;knp bisa botak SHARING KAKA;Netral
144;hair spraynya beli di mn k?;Netral
145;btw kak udh pernah coba prp treatment kah?;Netral
146;Kalo pangkas rambut biasanya bilangnya gimana kak? Lagi ngumpulin info soal hair topper nih.;Netral
147;kalo gatel bisa digaruk nggak?;Netral
148;kalo pas berenang lepas gaa kakk?? 😭;Netral
149;itu harus di lem terus atau gmn ka, baru tauu;Netral
150;Kalau konser kek gini, boleh bawa bendera Slank gak kak?;Netral
151;info tiket pls;Netral
152;Mas mas kompetitor itu udah ga berantem ?;Netral
153;circle ga makan gorengan;Netral
154;gacor😭;Netral
155;ini kolaborasi macam apa😭;Netral
156;sedih banget orang indonesia kalau ngehujat nomor satu padahal dia sama sekli nggk ngerugiin orang lain;Netral
157;kenapa sih orang indonesia ketikannya,omongan nya ga di jaga,padahal kakak ini cuman bikin konteng yang menceritakan kesehariannya,tentang makanan kalo dia bisa pedes;Netral
158;ka suka seblak ga?;Netral
159;nagetnya di kukus duluu lebih tahan lamaaa🙏;Netral
160;mereka lupa klau dia China🗿;Netral
161;tapi gak usah suruh vior masak aja soalnya resep DEBM semua 🤣🤣;Netral
162;tapi beneran ada yg kya vior, di akademi cerdas tp klo ngobrol sama orang lemot 😭;Netral
163;videonya udh ga ada ya(;Netral
164;menurut aku si livy soal membahas tentang Wili sampai ci Vilmei nangis;Netral
165;ini maksudnya apa ya,saya kurang paham Dengan kasus mereka?,yang tau boleh jelasin?;Netral
166;guys gw ggk ngerti masalahny dr awal ada yg mau bantu spill awalny knp😩;Netral
167;Kita gak tau isi hati orang👍;Netral
168;whatt ngga tau???;Netral
169;knp hrus panggil mami?;Netral
170; kenapa Wili ngasih tau foto rambut nya njr?;Netral
171;Maaf karena meragukanmu, Sir Alex Pastoor!!;Positive
172;Terima kasih sir alex pastoor 👏🙌;Positive
173;Kami percaya Coach Patrick dan Tim, Perubahan lebih baik🙌;Positive
174;Gua dukung oelatih baru apapun terjadi demi indonesia ku❤️❤️❤️;Positive
175;KAMU KERENNNN BANGET KAKK, PROUD OF YOU!! 🥺;Positive
176;semoga lekas membaik saudaraku🫂🫂🫂;Positive
177;kak it's okay banget kok🥹, seperti yang kamu bilang itu 'anugrah', hebat banget kamuu bisa nerima ini dengan legowo🫵💪🤟;Positive
178;KAAKK, SEMANGAAT TERUUUS! <3333;Positive
179;YA ALLAH DAM SAKING PINTERNYA LU NGEHIBUR ORANG SAMPE GUA PIKIR LU NGE PRANK, SEND VIRTUAL HUG FOR U🫂💗💗;Positive
180;ka keren banget bisa ngendaliinnya;Positive
181;kak semangat terus, kamu tetep kerenn, malah lebih kerenn dengan cara berpikir kamu🤍☺;Positive
182;kakk kamu kerenn, makasi dah mau bicara dan terbuka.. kamu hebatt🤩;Positive
183;Keren bgt bisa nahan ituu, padahal pasti susah bgt... ☹️. Semangat trs kk Sadamm🥰🫶🏻;Positive
184;Keren sekali bisa mendristraksi sampai bisa ga keliatan, keren juga dlm hal penerimaan & justru dijadikan hal utk bersyukur. Terima kasih ya Kak Sadam sudah terbuka, sampai di titik ini hebat sekalii;Positive
185;cherfull ka sadammmm, bener² keren bgtt bisa ngedistraksi fokusnya waktu kegiatan di luar, Allah sayang bgt sm kaka💓;Positive
186;🥹🙏cepet sembuh dan kamu hebat. Km tetap berjuang dan terus upgrade ke your best version. Bukan malah mengeluh. Km keren. Km hebat. Respect 🙏. Gue bangga;Positive
187;"ini bukan penghalang buat aku meraih mimpi"" 💯💯💯 sebelumnya aku kagum aja sekarang jadi KAGUM BANGET. thank you for sharing us the story, kak! you're truly an inspiring person 💖";Positive
188;Klo ada yg tanya “ini beneran kah?” Ini beneran guys disorder tipe itu emang ada contoh klo di public figure lainny itu kek billie eilish dan g mgkin kak sadam bikin joke ttg disorder;Positive
189;KEREN BANGET BANG? 😭gua ga tau sebuah apa karena ga pernah ngerasain tapi gua yakin pasti susah banget biar klihatan kan;Positive
190;gatauuu, sebelumnya udah kagum. makin kagum aja pas tau hal inii.. so proud of u kak;Positive
191;nope! itu bukan kekurangan sama sekali damm. dan setuju, itu salah satu tanda bahwa kamu berhasil menaklukkan limitasi yg km punya dengan baikk;Positive
192;tempat kerja gw ternyata hidden gem, di tempat kerja kayak keluarga, kesejahteraan karyawan terjamin, bonus akhir tahunnya ga ngotak 😭;Positive
193;suami ku kerja di sampoerna, gak se menyeramkan itu 😂 justru perusahaan besar sangat memanusiakan manusia 🙏🏻;Positive
194;Sampoerna adalah kesempurnaan. pernah 4th disitu. ya, emang sesejahtera itu sampai level paling bawah;Positive
195;adaa, paragon adalah perusahaan impian gue dan bakal gue coba teruss sampai tembus;Positive
196;Alhamdulillah rezeki suamiku ada di salah satunya;Positive
197;Ini baru cinta sejati❤️;Positive
198;"""Kalian Berdua Sangat Istimewa Koh";Positive
199;Kayaknya lebih fleksibel lebih baik ya. Cowok bisa ngurus kerjaan rumah kalau istrinya pas nggak bisa, dan cewek bisa cari duit pas cowoknya nggak bisa.;Positive
200;Nah ini nih🔥🔥saling mendukung;Positive
201;Panutan bangettt👏;Positive
202;Keren mas Tim 🙌;Positive
203;Ketua kami sudah kembali 🔥🔥🔥;Positive
204;MENYALA ABANGKUH😍👏;Positive
205;Visi yang gila + action yang gila = hasil yg luar biasa.🔥 lanjutkan ncek, masih banyak orang2 arogan yg belum sadar untuk disadarkan. 🔥👏🙌;Positive
206;Hasil yang sangat setimpal bagi orang-orang yang kerja super keras👏;Positive
207;mereka itu double job, nerima orderan drive thru sekaligus kasir. jadi mohon bersabar.;Positive
208;"Cetar sekali seperti cuaca hari ini 🔥😂
";Positive
209;"Menyala 🔥
";Positive
210;"Aura emasnya kuat bngt😭🤣🙏🏿
";Positive
211;"Aura kaya nya kuat banget 😢😂
";Positive
212;Kalah glamour Bu Titik Soeharto. Cuma perhiasannya aja yg emas, lah emak2 ini sak baju2nya dan hijabnya emas semua, menyala si emak 🔥🔥😂😂;Positive
213;Suka heran gw sma yg traktir orang tp nyiksa kek gini. Tujuan nya apaan duh lagian mie gacoan kan harga nya gak sbrapa ngapain jg nyiksa diri sndiri. Klo mau traktir ya yg wajar2 aja klo udh diare atau smpe knp2 emang tmn nya mo tnggung jwab itu? 😔😔😔;Positive
214;tim yg ngga level levelan, biar bisa dinikmati;Positive
215;Gaboleh sok pamer level 9 harusnya level 2-3 lebih baik aja jaga kesehatan lambung;Positive
216;banyak yg bilang pelit. tapi menurutku itu tindakan yg bagus. jadinya nggak mubazir. btw aku juga gitu;Positive
217;banyak yg bilang pelit. tapi menurutku itu tindakan yg bagus. jadinya nggak mubazir. btw aku juga gitu;Positive
218;bagiku bukan pelit sih,lebih ke menghargai makanan emang,,aku like yg begini begini🤗☺️☺️;Positive
219;Jadikan inspirasi aja gais sbnrnya mah;Positive
220;seru banget baca komen😂😂;Positive
221;KALO SAMA YG INI ADEM TILL , GAADA HURU HARA🥰😎;Positive
222;DIEM DIEM MENGHANYUTKAN ANJIRRRRRRR😖😖😖😍😍😍🥰🥰🥰;Positive
223;Mellow deh ka liat papa viral kalo lg mengenang almarhumah istrinya, sehat terus ya ka tiara dan keluargaa;Positive
224;lebih worth it hair topper karena lebih murah, kalau transplant lebih mahal😂😂😂;Positive
225;ebih suka effort gini drpd yg suka bilang 'akumah gini apa adanya' kaga rapih penmpilannya duh😭😭😭;Positive
226;bagus ini gak kliatan palsu...kliatan asli bgt. mahal bgt pasti. punya ruben onsu mah kliatan bgt hair toupe nya;Positive
227;spill harga sama belinya dmna kak please😭🙏;Positive
228;salut sm usaha kakaknya, alhamdulillah kaya rambut sendiri 👍🏻;Positive
229;bapakku litereli dimanapun kapanpun pake topiii. ini bnrn keren deh;Positive
230;Tapi beneran sih hair topper looks good on him;Positive
231;ku doain semoga bisa hair stransplant ya kak;Positive
232;kak up terus ya kembarannya. saya juga mengalami kebotakan kok. semangat salam buat kembarannya kak;Positive
233;idgitaf lu keren banget sumpah dari cover di tiktok sampe konser brg 3 pilar kehidupan!!!! 💗;Positive
234;gawat, pilar pilar Spotify bersatu;Positive
235;akur banget playlistku;Positive
236;Tulus bersinar bgt abis wudhu bang? 🥺;Positive
237;Orang orang di playlist gw bersatu gini helpppp info tiket😭😭😭;Positive
238;wah musisi2 lagu green flag disatuin 😭 vibenya adem bgt;Positive
239;dere lucu bgtttt;Positive
240;genre yg tiap lagunya ngomongin realita kehidupan 🥺🫶🤍;Positive
241;Orang pinter mana yg nyatuin mreka😭🔥;Positive
242;GONG BGT INI KESUKAAN AKU SEMUAAAAAAA DI SATUIN?!!!! YA ALLAHHHH MAU NONTONNNNN;Positive
243;respect banget cara makannya udah berubah🫶🏻;Positive
244;guys?kasian loh kknya 😔😔;Positive
245;pertama semangat ya kak jangan dengerin kata orang 🤗;Positive
246;seru bgt liat komen netizen 😭, semangat kaa❤️;Positive
247;Life is goes on kak, tetep semangat, jangan terlalu memikirkan perkataan orang lain kak hidup cuma sekali, intinya enjoy your life kak!;Positive
248;ka coba ganti cat rambut yg warna red wine pasti kakaknya cantik bgt;Positive
249;dah bagus sekali ini banyak perubahan banget suka dej;Positive
250;vior ga kosong, cuman lemot aja ga sih;Positive
251;Lagien alumni sekolah penabur..pasti ada lah sisi pinternya..;Positive
252;ternyata yg kosong itu bukan vior. tapi gw 😂;Positive
253;kemampuan vior yg bsa di sombongin yah itu pinter matematika dia itu Pinter bukan kosong cuma tata bahasanya aja yg agak ngelag dikit;Positive
254;udah minta maaf gk usah di hujat;Positive
255;itu lah resikonya sosmed, sekarang dekatin diri k Tuhan lepasin semua doa sesuai keyakinan mu brsihkan dri pokoknya mikir posif aja;Positive
